STR-CODE,id,SUBURB,BOX-CODE,AREA
2,1025,BEREA PARK,,PRETORIA
2,10380,MARABASTAD,,PRETORIA
2,11981,MUCKLENEUK,,PRETORIA
2,14137,PRETORIA,1,PRETORIA
2,14184,PRINCE'S PARK,,PRETORIA
2,14192,PRISON AREA,,PRETORIA
2,14193,GEVANGENISTERREIN,,PRETORIA
2,14418,RAILWAY RESERVE,,PRETORIA
2,14419,SPOORWEGTERREIN,,PRETORIA
2,15105,RIVERDALE,,PRETORIA
2,15106,RIVERDAL,,PRETORIA
2,15711,SALVOKOP,,PRETORIA
2,16430,SKANSKOP,,PRETORIA
2,17247,SUNNYSIDE,132,PRETORIA
2,18018,TREVENNA,,PRETORIA
2,18167,TSHWANE,1,PRETORIA
2,20208,ZWAVELDSPOORT,,PRETORIA
2,2505,CENTRAL,,PRETORIA
2,2506,SENTRAAL,,PRETORIA
2,2805,CLYDESDALE,,PRETORIA
2,3354,DEFENCE FORCE AREA,,PRETORIA
2,3355,VERDEDIGINGSTERREIN,,PRETORIA
2,6030,GOEDEHOOP,,PRETORIA
8,15824,SAULSVILLE EXT 3,,ATTERIDGEVILLE
8,15825,SAULSVILLE UIT 3,,ATTERIDGEVILLE
8,2863,CONCERN,8,ATTERIDGEVILLE
8,540,ATTERIDGEVILLE,6,PRETORIA
8,543,ATTERIDGEVILLE EXT 16,,ATTERIDGEVILLE
8,544,ATTERIDGEVILLE UIT 16,,ATTERIDGEVILLE
8,545,ATTERIDGEVILLE EXT 17,,ATTERIDGEVILLE
8,546,ATTERIDGEVILLE UIT 17,,ATTERIDGEVILLE
8,547,ATTERIDGEVILLE EXT 18,,ATTERIDGEVILLE
8,548,ATTERIDGEVILLE UIT 18,,ATTERIDGEVILLE
8,549,ATTERIDGEVILLE EXT 2,,ATTERIDGEVILLE
8,550,ATTERIDGEVILLE UIT 2,,ATTERIDGEVILLE
8,551,ATTERIDGEVILLE EXT 3,,ATTERIDGEVILLE
8,552,ATTERIDGEVILLE UIT 3,,ATTERIDGEVILLE
8,553,ATTERIDGEVILLE EXT 4,,ATTERIDGEVILLE
8,554,ATTERIDGEVILLE UIT 4,,ATTERIDGEVILLE
8,555,ATTERIDGEVILLE EXT 42,,ATTERIDGEVILLE
8,556,ATTERIDGEVILLE UIT 42,,ATTERIDGEVILLE
8,557,ATTERIDGEVILLE EXT 6,8,ATTERIDGEVILLE
8,558,ATTERIDGEVILLE UIT 6,8,ATTERIDGEVILLE
8,559,ATTERIDGEVILLE EXT 7,,ATTERIDGEVILLE
8,560,ATTERIDGEVILLE UIT 7,,ATTERIDGEVILLE
8,561,ATTERIDGEVILLE WEST EXT 6,,ATTERIDGEVILLE
8,562,ATTERIDGEVILLE-WES UIT 6,,ATTERIDGEVILLE
8,7708,KALAFONG HEIGHTS,,ATTERIDGEVILLE
8,7709,KALAFONG HOOGTE,,ATTERIDGEVILLE
8,9530,LOTUS GARDEN,25,PRETORIA
8,9531,LOTUS TUIN,25,PRETORIA
8,9532,LOTUS GARDENS,25,PRETORIA
8,9533,LOTUS TUINE,25,PRETORIA
8,9534,LOTUS GARDENS EXT 2,,PRETORIA
8,9535,LOTUS TUINE UIT 2,,PRETORIA
8,9536,LOTUS GARDENS EXT 3,25,PRETORIA
8,9537,LOTUS TUINE UIT 3,25,PRETORIA
22,4258,EERSTERUS,21,SILVERTON
22,4260,EERSTERUS EXT 4,,SILVERTON
22,4261,EERSTERUS UIT 4,,SILVERTON
22,4262,EERSTERUS EXT 5,,SILVERTON
22,4263,EERSTERUS UIT 5,,SILVERTON
22,4264,EERSTERUS EXT 6,,SILVERTON
22,4265,EERSTERUS UIT 6,,SILVERTON
35,7726,KAMEELDRIF EAST,35,DERDEPARK
35,7727,KAMEELDRIF-OOS,35,DERDEPARK
37,2708,CLAUDIUS,,LAUDIUM
37,9061,LAUDIUM,37,PRETORIA
37,9062,LAUDIUM EXT 1,,LAUDIUM
37,9063,LAUDIUM UIT 1,,LAUDIUM
37,9064,LAUDIUM EXT 2,,LAUDIUM
37,9065,LAUDIUM UIT 2,,LAUDIUM
37,9066,LAUDIUM EXT 3,,LAUDIUM
37,9067,LAUDIUM UIT 3,,LAUDIUM
39,15305,ROODEPLAAT,30,PRETORIA
81,10535,MAROELANA,161,PRETORIA
81,10889,MENLO PARK,102,PRETORIA
81,10890,MENLOPARK,102,PRETORIA
81,11580,MOOIKLOOF,59,PRETORIA
81,11581,MOOIKLOOF RIDGE,59,PRETORIA
81,11582,MOOIKLOOFRIF,59,PRETORIA
81,13184,OLYMPUS,,MENLO PARK
81,13515,PARAMOUNT ESTATE,,PRETORIA
81,13516,PARAMOUNT LANDGOED,,PRETORIA
81,14152,PRETORIUS PARK EXT 14,,PRETORIA
81,14153,PRETORIUSPARK UIT 14,,PRETORIA
81,14154,PRETORIUS PARK EXT 3,,PRETORIA
81,14155,PRETORIUSPARK UIT 3,,PRETORIA
81,14156,PRETORIUS PARK EXT 6,,PRETORIA
81,14157,PRETORIUSPARK UIT 6,,PRETORIA
81,14158,PRETORIUS PARK EXT 8,,PRETORIA
81,14159,PRETORIUS PARK UIT 8,,PRETORIA
81,14160,PRETORIUSPARK,42,GARSFONTEIN
81,1481,BOARDWALK MANOR,43,PRETORIA
81,1482,BOARDWALK MEANDER,43,PRETORIA
81,1483,BOARDWALK VILLAS EXT 4,43,PRETORIA
81,1484,BOARDWALK VILLAS UIT 4,43,PRETORIA
81,16274,SILVER LAKES,54,PRETORIA
81,16275,SILVER LAKES EXT 1,54,PRETORIA
81,16276,SILVER LAKES UIT 1,54,PRETORIA
81,16277,SILVER LAKES EXT 2,54,PRETORIA
81,16278,SILVER LAKES UIT 2,54,PRETORIA
81,16279,SILVER LAKES EXT 3,54,PRETORIA
81,16280,SILVER LAKES UIT 3,54,PRETORIA
81,16281,SILVER LAKES EXT 4,54,PRETORIA
81,16282,SILVER LAKES UIT 4,54,PRETORIA
81,16332,SILVERWOODS COUNTRY ESTATE,81,PRETORIA
81,16333,SILVERWOODS COUNTRY LANDGOED,81,PRETORIA
81,165,ALKANTRANT,5,PRETORIA
81,17363,SWAVELPOORT,36,PRETORIA
81,17737,THE WILLOWS,41,PRETORIA
81,17738,DIE WILGERS,41,PRETORIA
81,17739,THE WILLOWS EXT 1,41,PRETORIA
81,17740,DIE WILGERS UIT 1,41,PRETORIA
81,17741,THE WILLOWS EXT 13,41,PRETORIA
81,17742,DIE WILGERS UIT 13,41,PRETORIA
81,17743,THE WILLOWS EXT 15,41,PRETORIA
81,17744,DIE WILGERS UIT 15,41,PRETORIA
81,17745,THE WILLOWS EXT 17,41,PRETORIA
81,17746,DIE WILGERS UIT 17,41,PRETORIA
81,17747,THE WILLOWS EXT 19,,PRETORIA
81,17748,DIE WILGERS UIT 19,,PRETORIA
81,17749,THE WILLOWS EXT 28,41,PRETORIA
81,17750,DIE WILGERS UIT 28,41,PRETORIA
81,17751,THE WILLOWS EXT 5,41,PRETORIA
81,17752,DIE WILGERS UIT 5,41,PRETORIA
81,17753,THE WILLOWS EXT 51,41,PRETORIA
81,17754,DIE WILGERS UIT 51,41,PRETORIA
81,17755,THE WILLOWS EXT 64,41,PRETORIA
81,17756,DIE WILGERS UIT 64,41,PRETORIA
81,17757,THE WILLOWS EXT 9,41,PRETORIA
81,17758,DIE WILGERS UIT 9,41,PRETORIA
81,18949,WAPADRAND,50,PRETORIA
81,18950,WAPADRAND EXT 1,50,WAPADRAND
81,18951,WAPADRAND UIT 1,50,WAPADRAND
81,18952,WAPADRAND EXT 11,,WAPADRAND
81,18953,WAPADRAND UIT 11,,WAPADRAND
