postcode,name,state,latitude,longitude
2,"BEREA PARK",,-25.7069,28.2294
2,MARABASTAD,,-25.7069,28.2294
2,MUCKLENEUK,,-25.7069,28.2294
2,PRETORIA,,-25.7069,28.2294
1,PRETORIA,,-25.7069,28.2294
2,"PRINCE'S PARK",,-25.7069,28.2294
2,"PRISON AREA",,-25.7069,28.2294
2,GEVANGENISTERREIN,,-25.7069,28.2294
2,"RAILWAY RESERVE",,-25.7069,28.2294
2,SPOORWEGTERREIN,,-25.7069,28.2294
2,RIVERDALE,,-25.7069,28.2294
2,RIVERDAL,,-25.7069,28.2294
2,SALVOKOP,,-25.7069,28.2294
2,SKANSKOP,,-25.7069,28.2294
2,SUNNYSIDE,,-25.7069,28.2294
132,SUNNYSIDE,,-25.7069,28.2294
2,TREVENNA,,-25.7069,28.2294
2,TSHWANE,,-25.7069,28.2294
1,TSHWANE,,-25.7069,28.2294
2,ZWAVELDSPOORT,,-25.7069,28.2294
2,CENTRAL,,-25.7069,28.2294
2,SENTRAAL,,-25.7069,28.2294
2,CLYDESDALE,,-25.7069,28.2294
2,"DEFENCE FORCE AREA",,-25.7069,28.2294
2,VERDEDIGINGSTERREIN,,-25.7069,28.2294
2,GOEDEHOOP,,-25.7069,28.2294
8,"SAULSVILLE EXT 3",,-25.7728,28.0678
8,"SAULSVILLE UIT 3",,-25.7728,28.0678
8,CONCERN,,-25.7728,28.0678
8,CONCERN,,-25.7728,28.0678
8,ATTERIDGEVILLE,,-25.7728,28.0678
6,ATTERIDGEVILLE,,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 16",,-25.7728,28.0678
8,"ATTERIDGEVILLE UIT 16",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 17",,-25.7728,28.0678
8,"ATTERIDGEVILLE UIT 17",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 18",,-25.7728,28.0678
8,"ATTERIDGEVILLE UIT 18",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 2",,-25.7728,28.0678
8,"ATTERIDGEVILLE UIT 2",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 3",,-25.7728,28.0678
8,"ATTERIDGEVILLE UIT 3",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 4",,-25.7728,28.0678
8,"ATTERIDGEVILLE UIT 4",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 42",,-25.7728,28.0678
8,"ATTERIDGEVILLE UIT 42",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 6",,-25.7728,28.0678
8,"ATTERIDGEVILLE EXT 6",,-25.7728,28.0678
